boro,reported,candidate,party,votes,scrape_time
Queens,97.71%,Stacey G. Pheffer Amato,(Democratic),21388,2024-11-07_14:08:25.328387
Queens,97.71%,Thomas P. Sullivan,(Republican),19441,2024-11-07_14:08:25.328387
Queens,97.71%,Thomas P. Sullivan,(Conservative),1628,2024-11-07_14:08:25.328387
Queens,97.71%,Stacey G. Pheffer Amato,(We The People),1028,2024-11-07_14:08:25.328387
Queens,97.71%,Thomas P. Sullivan,(Common Sense),255,2024-11-07_14:08:25.328387
Queens,97.71%,WRITE-IN,,94,2024-11-07_14:08:25.328387
Total,,Stacey G. Pheffer Amato,(Democratic),21388,2024-11-07_14:08:25.328387
Total,,Thomas P. Sullivan,(Republican),19441,2024-11-07_14:08:25.328387
Total,,Thomas P. Sullivan,(Conservative),1628,2024-11-07_14:08:25.328387
Total,,Stacey G. Pheffer Amato,(We The People),1028,2024-11-07_14:08:25.328387
Total,,Thomas P. Sullivan,(Common Sense),255,2024-11-07_14:08:25.328387
Total,,WRITE-IN,,94,2024-11-07_14:08:25.328387
