boro,reported,candidate,party,votes,scrape_time
Queens,97.65%,Glenda M. Hernandez,(Democratic),363702,2024-11-13_13:13:03.240596
Queens,97.65%,Sharifa M. Nasser-Cuellar,(Democratic),325738,2024-11-13_13:13:03.240596
Queens,97.65%,Amish R. Doshi,(Democratic),357030,2024-11-13_13:13:03.240596
Queens,97.65%,Peter F. Lane,(Democratic),321652,2024-11-13_13:13:03.240596
Queens,97.65%,Melissa B. Deberry,(Democratic),337148,2024-11-13_13:13:03.240596
Queens,97.65%,William David Shanahan,(Republican),191152,2024-11-13_13:13:03.240596
Queens,97.65%,Mary-Ann E. Maloney,(Republican),197843,2024-11-13_13:13:03.240596
Queens,97.65%,Peter F. Lane,(Republican),175330,2024-11-13_13:13:03.240596
Queens,97.65%,Stephen C. Dachtera,(Republican),179168,2024-11-13_13:13:03.240596
Queens,97.65%,William David Shanahan,(Conservative/Common Sense),17042,2024-11-13_13:13:03.240596
Queens,97.65%,WRITE-IN,,10692,2024-11-13_13:13:03.240596
Total,,Glenda M. Hernandez,(Democratic),363702,2024-11-13_13:13:03.240596
Total,,Sharifa M. Nasser-Cuellar,(Democratic),325738,2024-11-13_13:13:03.240596
Total,,Amish R. Doshi,(Democratic),357030,2024-11-13_13:13:03.240596
Total,,Peter F. Lane,(Democratic),321652,2024-11-13_13:13:03.240596
Total,,Melissa B. Deberry,(Democratic),337148,2024-11-13_13:13:03.240596
Total,,William David Shanahan,(Republican),191152,2024-11-13_13:13:03.240596
Total,,Mary-Ann E. Maloney,(Republican),197843,2024-11-13_13:13:03.240596
Total,,Peter F. Lane,(Republican),175330,2024-11-13_13:13:03.240596
Total,,Stephen C. Dachtera,(Republican),179168,2024-11-13_13:13:03.240596
Total,,William David Shanahan,(Conservative/Common Sense),17042,2024-11-13_13:13:03.240596
Total,,WRITE-IN,,10692,2024-11-13_13:13:03.240596
