boro,reported,candidate,party,votes,scrape_time
Kings,97.95%,Alexis Riley,(Democratic),497985,2024-11-07_14:06:42.665072
Kings,97.95%,Turquoise Haskin,(Democratic),442671,2024-11-07_14:06:42.665072
Kings,97.95%,Tehilah H. Berman,(Democratic),458436,2024-11-07_14:06:42.665072
Kings,97.95%,Tawanna Marie St. Louis,(Democratic),467190,2024-11-07_14:06:42.665072
Kings,97.95%,Abayomi O. Whint,(Democratic),436446,2024-11-07_14:06:42.665072
Kings,97.95%,Mark Kagan,(Democratic),459155,2024-11-07_14:06:42.665072
Kings,97.95%,WRITE-IN,,36788,2024-11-07_14:06:42.665072
Total,,Alexis Riley,(Democratic),497985,2024-11-07_14:06:42.665072
Total,,Turquoise Haskin,(Democratic),442671,2024-11-07_14:06:42.665072
Total,,Tehilah H. Berman,(Democratic),458436,2024-11-07_14:06:42.665072
Total,,Tawanna Marie St. Louis,(Democratic),467190,2024-11-07_14:06:42.665072
Total,,Abayomi O. Whint,(Democratic),436446,2024-11-07_14:06:42.665072
Total,,Mark Kagan,(Democratic),459155,2024-11-07_14:06:42.665072
Total,,WRITE-IN,,36788,2024-11-07_14:06:42.665072
