boro,reported,candidate,party,votes,scrape_time
Kings,98.30%,Iwen Chu,(Democratic),21052,2024-11-07_14:17:36.964903
Kings,98.30%,Steve Chan,(Republican),26417,2024-11-07_14:17:36.964903
Kings,98.30%,Steve Chan,(Conservative),2747,2024-11-07_14:17:36.964903
Kings,98.30%,Iwen Chu,(Working Families),2480,2024-11-07_14:17:36.964903
Kings,98.30%,WRITE-IN,,224,2024-11-07_14:17:36.964903
Total,,Iwen Chu,(Democratic),21052,2024-11-07_14:17:36.964903
Total,,Steve Chan,(Republican),26417,2024-11-07_14:17:36.964903
Total,,Steve Chan,(Conservative),2747,2024-11-07_14:17:36.964903
Total,,Iwen Chu,(Working Families),2480,2024-11-07_14:17:36.964903
Total,,WRITE-IN,,224,2024-11-07_14:17:36.964903
