boro,reported,candidate,party,votes,scrape_time
New York,96.56%,Adriano Espaillat,(Democratic),136320,2024-11-07_14:07:14.930842
New York,96.56%,Ruben D. Vargas,(Republican),19674,2024-11-07_14:07:14.930842
New York,96.56%,Ruben D. Vargas,(Conservative),2493,2024-11-07_14:07:14.930842
New York,96.56%,WRITE-IN,,1058,2024-11-07_14:07:14.930842
Bronx,98.25%,Adriano Espaillat,(Democratic),28082,2024-11-07_14:07:14.930842
Bronx,98.25%,Ruben D. Vargas,(Republican),9291,2024-11-07_14:07:14.930842
Bronx,98.25%,Ruben D. Vargas,(Conservative),858,2024-11-07_14:07:14.930842
Bronx,98.25%,WRITE-IN,,141,2024-11-07_14:07:14.930842
Total,,Adriano Espaillat,(Democratic),164402,2024-11-07_14:07:14.930842
Total,,Ruben D. Vargas,(Republican),28965,2024-11-07_14:07:14.930842
Total,,Ruben D. Vargas,(Conservative),3351,2024-11-07_14:07:14.930842
Total,,WRITE-IN,,1199,2024-11-07_14:07:14.930842
