boro,reported,candidate,party,votes,scrape_time
Queens,95.62%,Thomas R. Suozzi,(Democratic),34691,2024-11-07_14:06:51.303335
Queens,95.62%,Michael J. LiPetri Jr.,(Republican),27534,2024-11-07_14:06:51.303335
Queens,95.62%,Michael J. LiPetri Jr.,(Conservative),2359,2024-11-07_14:06:51.303335
Queens,95.62%,Thomas R. Suozzi,(Common Sense),770,2024-11-07_14:06:51.303335
Queens,95.62%,WRITE-IN,,216,2024-11-07_14:06:51.303335
Total,,Thomas R. Suozzi,(Democratic),34691,2024-11-07_14:06:51.303335
Total,,Michael J. LiPetri Jr.,(Republican),27534,2024-11-07_14:06:51.303335
Total,,Michael J. LiPetri Jr.,(Conservative),2359,2024-11-07_14:06:51.303335
Total,,Thomas R. Suozzi,(Common Sense),770,2024-11-07_14:06:51.303335
Total,,WRITE-IN,,216,2024-11-07_14:06:51.303335
