boro,reported,candidate,party,votes,scrape_time
New York,97.25%,YES,,281095,2024-11-13_13:15:35.490695
New York,97.25%,NO,,238618,2024-11-13_13:15:35.490695
Bronx,97.60%,YES,,211257,2024-11-13_13:15:35.490695
Bronx,97.60%,NO,,77503,2024-11-13_13:15:35.490695
Kings,97.95%,YES,,321656,2024-11-13_13:15:35.490695
Kings,97.95%,NO,,303382,2024-11-13_13:15:35.490695
Queens,97.65%,YES,,350887,2024-11-13_13:15:35.490695
Queens,97.65%,NO,,212710,2024-11-13_13:15:35.490695
Richmond,97.22%,YES,,86463,2024-11-13_13:15:35.490695
Richmond,97.22%,NO,,82396,2024-11-13_13:15:35.490695
Total,,YES,,1251358,2024-11-13_13:15:35.490695
Total,,NO,,914609,2024-11-13_13:15:35.490695
