boro,reported,candidate,party,votes,scrape_time
Kings,95.79%,Marcela Mitaynes,(Democratic),15830,2024-11-13_13:14:24.291757
Kings,95.79%,Erik S. Frankel,(Republican),5101,2024-11-13_13:14:24.291757
Kings,95.79%,Erik S. Frankel,(Conservative),717,2024-11-13_13:14:24.291757
Kings,95.79%,Marcela Mitaynes,(Working Families),3930,2024-11-13_13:14:24.291757
Kings,95.79%,WRITE-IN,,74,2024-11-13_13:14:24.291757
Total,,Marcela Mitaynes,(Democratic),15830,2024-11-13_13:14:24.291757
Total,,Erik S. Frankel,(Republican),5101,2024-11-13_13:14:24.291757
Total,,Erik S. Frankel,(Conservative),717,2024-11-13_13:14:24.291757
Total,,Marcela Mitaynes,(Working Families),3930,2024-11-13_13:14:24.291757
Total,,WRITE-IN,,74,2024-11-13_13:14:24.291757
