boro,reported,candidate,party,votes,scrape_time
Queens,97.09%,Steven B. Raga,(Democratic),15168,2024-11-07_14:08:29.949713
Queens,97.09%,Brandon P. Castro,(Republican),11008,2024-11-07_14:08:29.949713
Queens,97.09%,Steven B. Raga,(Working Families),1896,2024-11-07_14:08:29.949713
Queens,97.09%,Brandon P. Castro,(Common Sense),278,2024-11-07_14:08:29.949713
Queens,97.09%,WRITE-IN,,90,2024-11-07_14:08:29.949713
Total,,Steven B. Raga,(Democratic),15168,2024-11-07_14:08:29.949713
Total,,Brandon P. Castro,(Republican),11008,2024-11-07_14:08:29.949713
Total,,Steven B. Raga,(Working Families),1896,2024-11-07_14:08:29.949713
Total,,Brandon P. Castro,(Common Sense),278,2024-11-07_14:08:29.949713
Total,,WRITE-IN,,90,2024-11-07_14:08:29.949713
