boro,reported,candidate,party,votes,scrape_time
Bronx,97.45%,Ritchie Torres,(Democratic),121318,2024-11-07_14:17:16.837233
Bronx,97.45%,Gonzalo Duran,(Republican),30134,2024-11-07_14:17:16.837233
Bronx,97.45%,Gonzalo Duran,(Conservative),3271,2024-11-07_14:17:16.837233
Bronx,97.45%,Jose Vega,(LaRouche),3746,2024-11-07_14:17:16.837233
Bronx,97.45%,WRITE-IN,,573,2024-11-07_14:17:16.837233
Total,,Ritchie Torres,(Democratic),121318,2024-11-07_14:17:16.837233
Total,,Gonzalo Duran,(Republican),30134,2024-11-07_14:17:16.837233
Total,,Gonzalo Duran,(Conservative),3271,2024-11-07_14:17:16.837233
Total,,Jose Vega,(LaRouche),3746,2024-11-07_14:17:16.837233
Total,,WRITE-IN,,573,2024-11-07_14:17:16.837233
