boro,reported,candidate,party,votes,scrape_time
New York,97.25%,YES,,343329,2024-11-07_14:20:14.843496
New York,97.25%,NO,,195867,2024-11-07_14:20:14.843496
Bronx,97.60%,YES,,224456,2024-11-07_14:20:14.843496
Bronx,97.60%,NO,,71673,2024-11-07_14:20:14.843496
Kings,97.95%,YES,,357405,2024-11-07_14:20:14.843496
Kings,97.95%,NO,,288145,2024-11-07_14:20:14.843496
Queens,97.65%,YES,,370651,2024-11-07_14:20:14.843496
Queens,97.65%,NO,,209366,2024-11-07_14:20:14.843496
Richmond,97.22%,YES,,83360,2024-11-07_14:20:14.843496
Richmond,97.22%,NO,,89665,2024-11-07_14:20:14.843496
Total,,YES,,1379201,2024-11-07_14:20:14.843496
Total,,NO,,854716,2024-11-07_14:20:14.843496
