boro,reported,candidate,party,votes,scrape_time
Bronx,99.00%,Toby Ann Stavisky,(Democratic),-,2024-11-07_14:07:39.764083
Bronx,99.00%,Yiatin Chu,(Republican),1,2024-11-07_14:07:39.764083
Bronx,99.00%,Yiatin Chu,(Conservative),-,2024-11-07_14:07:39.764083
Bronx,99.00%,Toby Ann Stavisky,(Working Families),-,2024-11-07_14:07:39.764083
Bronx,99.00%,WRITE-IN,,-,2024-11-07_14:07:39.764083
Queens,96.79%,Toby Ann Stavisky,(Democratic),48994,2024-11-07_14:07:39.764083
Queens,96.79%,Yiatin Chu,(Republican),41002,2024-11-07_14:07:39.764083
Queens,96.79%,Yiatin Chu,(Conservative),3436,2024-11-07_14:07:39.764083
Queens,96.79%,Toby Ann Stavisky,(Working Families),2982,2024-11-07_14:07:39.764083
Queens,96.79%,WRITE-IN,,404,2024-11-07_14:07:39.764083
Total,,Toby Ann Stavisky,(Democratic),48994,2024-11-07_14:07:39.764083
Total,,Yiatin Chu,(Republican),41003,2024-11-07_14:07:39.764083
Total,,Yiatin Chu,(Conservative),3436,2024-11-07_14:07:39.764083
Total,,Toby Ann Stavisky,(Working Families),2982,2024-11-07_14:07:39.764083
Total,,WRITE-IN,,404,2024-11-07_14:07:39.764083
